Dados
"S.2.0X Verifica duvida | Bom dia | Pelo Aplicativo , além dos comandos remotos: ""Ligar e Desligar"", ""Luzes e Buzinas"" e ""Travar e Destravar as portas"", você também acessa outros serviços como:  - Localização do veículo - Diagnósticos do veículo - Agendamento de Serviços - Rede Wi-Fi - Condução Inteligente  - Navegação (se o veículo for compatível) - Plano  - Acessar a conta - Editar o my App - Configurações - Manual do Proprietário - Videos e Artigos - Fale conosco"
[CV] Roteador de Erros | Como faço para cancelar o plano | Para cancelar seu plano  basta entrar em contato com a Central  no  ou pressionar o Botão Azul e falar com um agente.
"[CV] Roteador de Erros | Plano de Wi-Fi | É possível renovar seu plano  sem contratar o Wi-Fi, porém, para contratar um pacote Wi-Fi, é necessário ter pelo menos o plano  Connect ativado em seu veículo."
"[CV] Roteador de Erros | Preço | ##L.1.0

Para assinar ou realizar o upgrade do  e Wi-Fi é muito simples. Basta ligar no . Você pode optar por 4 tipos de planos  e Wi-Fi. Aqui estão seus preços, custos, valores, quanto custa, e quanto vai pagar."
"A.1.0 Algo Mais | Ativar pacote Wi-Fi | É possível renovar seu plano  sem contratar o Wi-Fi, porém, para contratar um pacote Wi-Fi, é necessário ter pelo menos o plano  Connect ativado em seu veículo."
"A.1.0 Algo Mais | Bom dia, pode me mandar um número q eu possa ligar, via celular? Pq esse  não estou conseguindo. | Caso esteja enfrentando algum problema para ativar seu  pelo celular, recomendamos que a ativação seja feita num desktop ou notebook sempre efetuando a limpeza do histórico de navegação antes de clicar em “Aceitar” o convite. Estamos trabalhando para melhorar a experiência de ativação via smartphone."
A.1.0 Algo Mais | Cancelar os serviços   | Para cancelar seu plano  basta entrar em contato com a Central  no  ou pressionar o Botão Azul e falar com um agente.
A.1.0 Algo Mais | Como acesso o aplicativo do  ? | É possível realizar a alteração de acesso somente na senha. O login (email) não pode ser alterado. Você pode solicitar pelo site ou pelo aplicativo.
"A.1.0 Algo Mais | Como cadastro esse PIN  ? | O PIN é sua chave de segurança e sempre será solicitado em caso de alteração de dados cadastrais, contratação de serviços  e Wi-Fi bem como ao realizar os comandos remotos."
"A.1.0 Algo Mais | Como eu iria pagar ó plano | ##L.1.0

Para assinar ou realizar o upgrade do  e Wi-Fi é muito simples. Basta ligar no . Você pode optar por 4 tipos de planos  e Wi-Fi. Aqui estão seus preços, custos, valores, quanto custa, e quanto vai pagar."
"A.1.0 Algo Mais | como faço a contratação do ? | ##C.1.0

Ativar o  e Wi-Fi é bem simples. Montei aqui um passo a passo de como realizar essa ativação."
A.1.0 Algo Mais | como funciona standard connect? | Para utilizar o Condução Inteligente  é necessário ter um plano ativo a partir do Plano Standard Connect.
"A.1.0 Algo Mais | E a internet o plano no carro novo a tracker vale por 3 meses o período gratuito | O período de gratuidade dos serviços  é de 30 dias. No entanto, caso você cadastre seu cartão de crédito, a B fornecerá mais 60 dias gratuitos totalizando 3 meses do plano Protect & Connect sem custo para o cliente. No 4º mês, a cobrança será automática no cartão de crédito. 

Para cadastrar o cartão de crédito e estender o período de gratuidade, você pode optar por uma das seguintes opções: 

• Apertar o botão azul do seu veículo e falar com um de nossos atendentes; 

• Entrar em contato com nossa Central de Atendimento: ; 

• Acessar o link: . 

No Wi-Fi, o período gratuito é de 3 meses ou 3GB (o que ocorrer primeiro) desde que assine os termos e condições de  e Wi-Fi. 

Após período de degustação, aperte o botão azul  ou ligue  para adquirir os planos."
A.1.0 Algo Mais | Então  eu prefiro cancelar | Para cancelar seu plano  basta entrar em contato com a Central  no  ou pressionar o Botão Azul e falar com um agente.
"A.1.0 Algo Mais | Entao o seguro tem que ser separado do ? | O  não é considerado um e nem é relacionado a seguros. Para isso, você deve procurar uma seguradora."
